№,職務ＩＤ,職務名,所属部門,業務ＩＤ,業務名,イベント,業務タイプＩＤ,業務タイプ名
1,1,本社管理職務,未指定,1000,ログインとログアウト,随時,,
2,2,支社管理職務,未指定,,データ登録業務,データ登録が割り当てされた,,
3,2,支社管理職務,未指定,1000,ログインとログアウト,随時,,
4,10,住基情報管理者,住民課,1000,ログインとログアウト,随時,,
5,10,住基情報管理者,住民課,1001,転入受付,転入届を受け取った！,,
6,10,住基情報管理者,住民課,1002,異動受付,異動届を受け取った！,,
7,10,住基情報管理者,住民課,1003,転出受付,転出届を受け取った！,,
8,10,住基情報管理者,住民課,1004,職権保守,随時,,
9,10,住基情報管理者,住民課,1005,各種証明書交付,交付申請を受け取った！,,
10,10,住基情報管理者,住民課,1006,各種通知書送付,随時,,
11,10,住基情報管理者,住民課,1007,案内書一括送付,随時,,
12,10,住基情報管理者,住民課,1010,印鑑新規登録,登録申請を受け取った！,,
13,10,住基情報管理者,住民課,1011,印鑑廃止登録,廃止申請を受け取った！,,
14,10,住基情報管理者,住民課,1012,印鑑引替登録,引替申請を受け取った！,,
15,10,住基情報管理者,住民課,1013,印鑑証明書交付,交付申請を受け取った！,,
16,10,住基情報管理者,住民課,1020,閲覧支援,閲覧申請を受け取った！,,
17,20,選挙情報管理者,選挙管理課,2000,ログインとログアウト,随時,,
18,20,選挙情報管理者,選挙管理課,2001,投票所情報保守,随時,,
19,20,選挙情報管理者,選挙管理課,2002,選挙情報保守,規定日,,
20,20,選挙情報管理者,選挙管理課,2003,選挙人申告受付,申告書を受け取った！,,
21,20,選挙情報管理者,選挙管理課,2004,投票通知,規定日,,
22,20,選挙情報管理者,選挙管理課,2005,不在者投票登録,不在者投票届を受け取った！,,
23,20,選挙情報管理者,選挙管理課,2006,投票者数登録,選管から通知を受けた！,,
24,30,固定資産税管理者,税務課,3000,ログインとログアウト,随時,,
25,30,固定資産税管理者,税務課,3001,課税資産情報の登録,通知か申請書を受け取った！,,
26,30,固定資産税管理者,税務課,3004,客体別資産課税額確定,年次の規定日,,
27,30,固定資産税管理者,税務課,3005,課税額通知,年次の規定日,,
28,30,固定資産税管理者,税務課,3006,更正登録,更正申請を受け取った！,,
