№,サブシステムＩＤ,サブシステム名,テーブルＩＤ,テーブル名,Key,フィールドＩＤ,フィールド名,属性,データタイプ,Null,UPD,省略値,モデル,説明
1,A,住民データ管理,AT010,世帯,*,,世帯id,固有,世帯id(7),×,×,,表示,
2,A,住民データ管理,AT010,世帯,,,所属自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
3,A,住民データ管理,AT010,世帯,,,区域行番,固有,区域行番(5),×,○,,表示,
4,A,住民データ管理,AT010,世帯,,,住所,固有,可変長文字(50),×,○,,表示,
5,A,住民データ管理,AT010,世帯,,,郵便番号,固有,１０桁文字(10),×,○,,表示,
6,A,住民データ管理,AT011,世帯異動履歴,*,,世帯id,固有,世帯id(7),×,×,,表示,
7,A,住民データ管理,AT011,世帯異動履歴,*,,異動行番,固有,異動行番(5),×,×,,表示,
8,A,住民データ管理,AT011,世帯異動履歴,,,異動事由,固有,可変長文字(50),×,○,,表示,
9,A,住民データ管理,AT011,世帯異動履歴,,,異動届出日,固有,日付(8),×,○,,表示,
10,A,住民データ管理,AT011,世帯異動履歴,,,異動届出自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
11,A,住民データ管理,AT011,世帯異動履歴,,,異動日,固有,日付(8),×,○,,表示,
12,A,住民データ管理,AT011,世帯異動履歴,,,異動前住所,固有,可変長文字(50),×,○,,表示,
13,A,住民データ管理,AT011,世帯異動履歴,,,異動前所属自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
14,A,住民データ管理,AT020,住民基本属性,*,,住民id,固有,住民id(15),×,×,,-,
15,A,住民データ管理,AT020,住民基本属性,,,住民票コード,固有,住民票コード(15),×,○,,表示,外国人の場合は外国人登録番号
16,A,住民データ管理,AT020,住民基本属性,,,世帯id,固有,世帯id(7),×,○,,表示,
17,A,住民データ管理,AT020,住民基本属性,,,世帯続柄,固有,システム定義区分(2),×,○,,表示,
18,A,住民データ管理,AT020,住民基本属性,,,住民種別,固有,システム定義区分(2),×,○,,表示,
19,A,住民データ管理,AT020,住民基本属性,,,住民状態,固有,システム定義区分(2),×,○,,表示,
20,A,住民データ管理,AT020,住民基本属性,,,現自治体転入日,固有,日付(8),×,○,,-,
21,A,住民データ管理,AT020,住民基本属性,,,性別,固有,システム定義区分(2),×,○,,表示,
22,A,住民データ管理,AT020,住民基本属性,,,生年月日,固有,日付(8),×,○,,表示,
23,A,住民データ管理,AT020,住民基本属性,,,邦人区分,固有,フラグ(1),×,○,,表示,
24,A,住民データ管理,AT020,住民基本属性,,,転入元自治体Ｃ,固有,自治体Ｃ(5),×,○,,-,
25,A,住民データ管理,AT020,住民基本属性,,,住登区分,固有,システム定義区分(2),×,○,,-,
26,A,住民データ管理,AT020,住民基本属性,,,姓,固有,可変長文字(50),×,○,,表示,外国人の場合は通称名の姓部分
27,A,住民データ管理,AT020,住民基本属性,,,名,固有,可変長文字(50),×,○,,表示,外国人の場合は通称名の名部分
28,A,住民データ管理,AT020,住民基本属性,,,カナ姓,固有,３０桁文字(30),×,○,,-,外国人の場合は本名の姓部分
29,A,住民データ管理,AT020,住民基本属性,,,カナ名,固有,３０桁文字(30),×,○,,-,外国人の場合は本名の名部分
30,A,住民データ管理,AT020,住民基本属性,,,本籍,固有,可変長文字(50),×,○,,表示,外国人の場合はブランク
31,A,住民データ管理,AT020,住民基本属性,,,本籍住所コード,固有,可変長文字(50),×,○,,-,外国人の場合はブランク
32,A,住民データ管理,AT020,住民基本属性,,,国籍,固有,ユーザ定義区分(2),×,○,,表示,邦人の場合はブランク
33,A,住民データ管理,AT020,住民基本属性,,,在留資格区分,固有,システム定義区分(2),×,○,,-,邦人の場合はブランク
34,A,住民データ管理,AT020,住民基本属性,,,在留開始日,固有,日付(8),×,○,,-,邦人の場合は０
35,A,住民データ管理,AT020,住民基本属性,,,在留終了日,固有,日付(8),×,○,,-,邦人の場合は０
36,A,住民データ管理,AT020,住民基本属性,,,印鑑登録№,固有,印鑑登録№(15),×,○,,-,未登録ならばブランク
37,A,住民データ管理,AT020,住民基本属性,,,印鑑登録日,固有,日付(8),×,○,,-,未登録ならば０
38,A,住民データ管理,AT020,住民基本属性,,,印鑑引替日,固有,日付(8),×,○,,-,未登録ならば０
39,A,住民データ管理,AT020,住民基本属性,,,印鑑失効日,固有,日付(8),×,○,,-,未登録ならば０
40,A,住民データ管理,AT020,住民基本属性,,,選挙人属性行番有効値,固有,属性行番(3),×,○,,-,
41,A,住民データ管理,AT020,住民基本属性,,,納付用銀行コード,固有,１０桁文字(10),×,○,,-,
42,A,住民データ管理,AT020,住民基本属性,,,納付用口座番号,固有,２０桁文字(20),×,○,,-,
43,A,住民データ管理,AT020,住民基本属性,,,給付用銀行コード,固有,１０桁文字(10),×,○,,-,
44,A,住民データ管理,AT020,住民基本属性,,,給付用口座番号,固有,２０桁文字(20),×,○,,-,
45,A,住民データ管理,AT020,住民基本属性,,,送付先住所,固有,可変長文字(50),×,○,,-,ブランクならば世帯住所と同一という意味
46,A,住民データ管理,AT020,住民基本属性,,,送付先郵便番号,固有,１０桁文字(10),×,○,,-,
47,A,住民データ管理,AT021,住民基本属性異動見出し,*,,住民id,固有,住民id(15),×,×,,表示,
48,A,住民データ管理,AT021,住民基本属性異動見出し,*,,異動行番,固有,異動行番(5),×,×,,表示,
49,A,住民データ管理,AT021,住民基本属性異動見出し,,,異動事由,固有,可変長文字(50),×,○,,表示,
50,A,住民データ管理,AT021,住民基本属性異動見出し,,,異動届出日,固有,日付(8),×,○,,表示,
51,A,住民データ管理,AT021,住民基本属性異動見出し,,,異動届出自治体Ｃ,固有,自治体Ｃ(5),×,○,,表示,
52,A,住民データ管理,AT021,住民基本属性異動見出し,,,異動日,固有,日付(8),×,○,,表示,
53,A,住民データ管理,AT021,住民基本属性異動見出し,,,属性区分,固有,システム定義区分(2),×,○,,表示,住民基本属性、選挙人属性、国保資格属性、国民年金資格属性、障害者属性、老人福祉資格属性、生活保護資格属性、乳幼児・児童属性、公営住宅入居属性
