№,サブシステムＩＤ,サブシステム名,機能ＩＤ,機能名,タイプ,概要,この機能を直接利用する業務
1,A,住民データ管理,AF010,住民データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「各種証明書交付 (住基情報管理者) 」等
2,,,AF020,住民基本データの保守,フラットメンテナンス,,「各種証明書交付 (住基情報管理者) 」等
3,,,AF030,世帯データの保守,親子メンテナンス,,「異動受付 (住基情報管理者) 」等
4,,,AF040,各種証明書･通知書の発行,ランチャー,,「各種証明書交付 (住基情報管理者) 」等
5,,,AF041,住民票の発行,バッチ処理,,なし
6,,,AF042,印鑑証明書の発行,バッチ処理,,なし
7,,,AF043,外国人登録証明書の発行,バッチ処理,,なし
8,,,AF044,その他の証明書･通知書1の発行,バッチ処理,,なし
9,,,AF045,その他の証明書･通知書2の発行,バッチ処理,,なし
10,,,AF046,宛名ラベルの発行,バッチ処理,,なし
11,,,AF050,住民宛名データの一括出力,明細検索・一覧,条件にしたがって住民の宛名データを一括出力するためのパネル機能,「案内書一括送付 (住基情報管理者) 」
12,,,AF100,住民基本情報保守履歴追加用関数,バッチ処理,,なし
13,,,AF110,住民検索用関数,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するための関数機能,「住民税申告登録 (個人住民税管理者) 」等
14,B,選挙データ管理,BF010,投票所データの検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「投票所情報保守 (選挙情報管理者) 」
15,,,BF011,投票所データの保守,フラットメンテナンス,,「投票所情報保守 (選挙情報管理者) 」
16,,,BF020,住民選挙人属性の検索・一覧,明細検索・一覧,条件にしたがって一次テーブルの内容を検索・一覧するためのパネル機能,「選挙人申告受付 (選挙情報管理者) 」等
17,,,BF021,住民選挙人属性の保守,フラットメンテナンス,,「選挙人申告受付 (選挙情報管理者) 」等
18,,,BF022,不在者投票登録,フラットメンテナンス,,「不在者投票登録 (選挙情報管理者) 」
